Code,Area,Year,Measure,Value
E09000006,Bromley,Year ending Mar 1997,Median,"81,000"
E09000007,Camden,Year ending Mar 1997,Median,"132,950"
E09000008,Croydon,Year ending Mar 1997,Median,"65,850"
E09000009,Ealing,Year ending Mar 1997,Median,"81,500"
E09000010,Enfield,Year ending Mar 1997,Median,"72,000"
E09000011,Greenwich,Year ending Mar 1997,Median,"64,000"
E09000012,Hackney,Year ending Mar 1997,Median,"67,000"
E09000013,Hammersmith and Fulham,Year ending Mar 1997,Median,"123,000"
E09000014,Haringey,Year ending Mar 1997,Median,"73,000"
E09000015,Harrow,Year ending Mar 1997,Median,"83,950"
E09000016,Havering,Year ending Mar 1997,Median,"69,000"
E09000017,Hillingdon,Year ending Mar 1997,Median,"74,000"
E09000018,Hounslow,Year ending Mar 1997,Median,"73,500"
E09000019,Islington,Year ending Mar 1997,Median,"104,000"
E09000020,Kensington and Chelsea,Year ending Mar 1997,Median,"200,000"
E09000021,Kingston upon Thames,Year ending Mar 1997,Median,"88,248"
E09000022,Lambeth,Year ending Mar 1997,Median,"76,000"
E09000023,Lewisham,Year ending Mar 1997,Median,"59,000"
E09000024,Merton,Year ending Mar 1997,Median,"80,000"
E09000025,Newham,Year ending Mar 1997,Median,"51,000"
E09000026,Redbridge,Year ending Mar 1997,Median,"72,000"
E09000027,Richmond upon Thames,Year ending Mar 1997,Median,"120,000"
E09000028,Southwark,Year ending Mar 1997,Median,"75,000"
E09000029,Sutton,Year ending Mar 1997,Median,"70,000"
E09000030,Tower Hamlets,Year ending Mar 1997,Median,"82,500"
E09000031,Waltham Forest,Year ending Mar 1997,Median,"57,000"
E09000032,Wandsworth,Year ending Mar 1997,Median,"95,000"
E09000033,Westminster,Year ending Mar 1997,Median,"138,000"
E12000001,North East,Year ending Mar 1997,Median,"45,000"
E12000002,North West,Year ending Mar 1997,Median,"47,000"
E12000003,Yorkshire And The Humber,Year ending Mar 1997,Median,"47,000"
E12000004,East Midlands,Year ending Mar 1997,Median,"48,000"
E12000005,West Midlands,Year ending Mar 1997,Median,"52,000"
E12000006,East of England,Year ending Mar 1997,Median,"59,500"
E12000007,London,Year ending Mar 1997,Median,"79,000"
E12000008,South East,Year ending Mar 1997,Median,"69,500"
E12000009,South West,Year ending Mar 1997,Median,"58,000"
E92000001,England,Year ending Mar 1997,Median,"58,000"
W92000004,Wales,Year ending Mar 1997,Median,"45,500"
K04000001,England And Wales,Year ending Mar 1997,Median,"57,750"
E09000001,City of London,Year ending Jun 1997,Median,"130,000"
E09000002,Barking and Dagenham,Year ending Jun 1997,Median,"50,000"
E09000003,Barnet,Year ending Jun 1997,Median,"91,950"
E09000004,Bexley,Year ending Jun 1997,Median,"68,500"
E09000005,Brent,Year ending Jun 1997,Median,"76,000"
E09000006,Bromley,Year ending Jun 1997,Median,"82,500"
E09000007,Camden,Year ending Jun 1997,Median,"135,000"
E09000008,Croydon,Year ending Jun 1997,Median,"67,000"
E09000009,Ealing,Year ending Jun 1997,Median,"83,500"
E09000010,Enfield,Year ending Jun 1997,Median,"74,000"
E09000011,Greenwich,Year ending Jun 1997,Median,"64,000"
E09000012,Hackney,Year ending Jun 1997,Median,"70,000"
E09000013,Hammersmith and Fulham,Year ending Jun 1997,Median,"125,000"
E09000014,Haringey,Year ending Jun 1997,Median,"75,000"
E09000015,Harrow,Year ending Jun 1997,Median,"86,000"
E09000016,Havering,Year ending Jun 1997,Median,"70,000"
E09000017,Hillingdon,Year ending Jun 1997,Median,"75,000"
E09000018,Hounslow,Year ending Jun 1997,Median,"75,000"
E09000019,Islington,Year ending Jun 1997,Median,"110,000"
E09000020,Kensington and Chelsea,Year ending Jun 1997,Median,"210,000"
E09000021,Kingston upon Thames,Year ending Jun 1997,Median,"88,500"
E09000022,Lambeth,Year ending Jun 1997,Median,"79,500"
E09000023,Lewisham,Year ending Jun 1997,Median,"59,995"
E09000024,Merton,Year ending Jun 1997,Median,"82,000"
E09000025,Newham,Year ending Jun 1997,Median,"52,500"
E09000026,Redbridge,Year ending Jun 1997,Median,"73,590"
E09000027,Richmond upon Thames,Year ending Jun 1997,Median,"123,000"
E09000028,Southwark,Year ending Jun 1997,Median,"78,000"
E09000029,Sutton,Year ending Jun 1997,Median,"71,500"
E09000030,Tower Hamlets,Year ending Jun 1997,Median,"86,500"
E09000031,Waltham Forest,Year ending Jun 1997,Median,"58,500"
E09000032,Wandsworth,Year ending Jun 1997,Median,"99,000"
E09000033,Westminster,Year ending Jun 1997,Median,"147,000"
E12000001,North East,Year ending Jun 1997,Median,"45,950"
